ProductID,MaterialCode,Percent
291,74,1,0.98
292,74,6,1.0e-04
293,74,2,2.0e-03
294,74,13,0.01
295,75,1,0.98
296,75,6,1.0e-03
297,75,2,3.0e-03
298,75,13,8.0e-03
299,76,1,0.98
300,76,6,1.0e-03
301,76,2,3.0e-03
302,76,13,8.0e-03
303,77,1,0.99
304,77,13,1.0e-03
305,77,2,7.0e-03
306,78,1,0.99
307,78,13,1.0e-03
308,78,2,7.0e-03
309,79,1,0.99
310,79,17,1.0e-04
311,79,13,3.0e-03
312,79,2,4.0e-03
313,80,1,0.99
314,80,17,1.0e-04
315,80,13,3.0e-03
316,80,2,4.0e-03
317,81,1,0.99
318,81,6,1.0e-04
319,81,2,1.0e-03
320,81,13,6.0e-03
321,82,1,0.99
322,82,6,1.0e-03
323,82,2,2.0e-03
324,82,13,6.0e-03
325,83,1,0.99
326,83,6,1.0e-04
327,83,2,1.0e-03
328,83,15,3.0e-03
329,84,1,0.99
330,84,6,1.0e-04
331,84,2,1.0e-03
332,84,15,3.0e-03
333,85,1,0.99
334,85,6,1.0e-04
335,85,13,1.0e-03
336,85,2,2.0e-03
337,86,1,0.99
338,86,6,1.0e-04
339,86,13,1.0e-03
340,86,2,2.0e-03
341,87,1,0.98
342,87,7,1.0e-03
343,87,16,4.0e-03
344,87,13,0.01
345,88,1,0.98
346,88,7,1.0e-03
347,88,16,4.0e-03
348,88,13,0.01
349,89,1,1.00
350,90,1,1.00
351,91,1,0.99
352,91,5,1.0e-04
353,91,8,1.0e-04
354,91,13,1.0e-03
355,92,1,0.99
356,92,5,1.0e-04
357,92,8,1.0e-04
358,92,13,1.0e-03
359,93,1,0.99
360,93,5,1.0e-04
361,93,16,1.0e-03
362,93,2,2.0e-03
363,93,3,4.0e-03
364,94,1,0.99
365,94,5,1.0e-04
366,94,16,1.0e-03
367,94,2,2.0e-03
368,94,3,4.0e-03

